,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,corrente,frequencia,frequencia ao quadrado,periodo,incerteza
0,0,0,0,220.4,2.1413,4.585165690000001,0.46700602437771443,0.17672787525594605
1,1,1,1,163.1,1.8762,3.5201264400000003,0.5329922183136125,0.11888030208110405
2,2,2,2,148.1,1.8762,3.5201264400000003,0.5329922183136125,0.11888030208110405
3,3,3,3,122.6,1.6667,2.7778888900000003,0.5999880002399952,0.083338333433334
4,4,4,4,103.0,1.4993,2.24790049,0.6669779230307477,0.060664989683826005
5,5,5,5,78.4,1.3624,1.85613376,0.733998825601879,0.045518339423232
6,6,6,6,60.6,1.25,1.5625,0.8,0.03515624999999999
7,7,7,7,40.51,1.0,1.0,1.0,0.018
8,8,8,8,19.55,0.8333,0.69438889,1.2000480019200768,0.010415416716666001
9,9,9,9,0.0,0.6817,0.46471488999999994,1.4669209329617134,0.005702330529233998
10,10,10,10,-2.2,0.5359,0.28718881000000007,1.8660197798096658,0.0027702806990220004
11,11,11,11,-3.86,0.5173,0.26759929,1.9331142470520009,0.0024917240289059994
12,12,12,12,-6.42,0.4838,0.23406244,2.0669698222405954,0.0020383093524959997
13,13,13,13,-10.0,0.3659,0.13388281,2.7329871549603717,0.0008817789632219999
14,14,14,14,-11.96,0.3,0.09,3.3333333333333335,0.0004859999999999999
15,15,15,15,-14.76,0.2,0.04000000000000001,5.0,0.000144
16,16,16,16,-44.58,0.7502,0.56280004,1.3329778725673154,0.007599826620143999
17,17,17,17,-58.8,0.8818,0.77757124,1.1340440009072352,0.012341921749775999
18,18,18,18,-86.2,1.1547,1.33333209,0.8660258075690656,0.027712774157814
19,19,19,19,-102.0,1.25,1.5625,0.8,0.03515624999999999
20,20,20,20,-120.3,1.3643,1.8613144900000003,0.7329766180458843,0.045709044456726
21,21,21,21,-139.5,1.5015,2.2545022500000003,0.666000666000666,0.060932432310750004
22,22,22,22,-159.2,1.6667,2.7778888900000003,0.5999880002399952,0.083338333433334
23,23,23,23,-183.6,1.8727,3.50700529,0.5339883590537726,0.11821623851849399
24,24,24,24,-207.3,1.8727,3.50700529,0.5339883590537726,0.11821623851849399
25,25,25,25,-220.7,2.1459,4.604886810000001,0.4660049396523603,0.17786927890042203
26,26,26,26,-242.4,2.1459,4.604886810000001,0.4660049396523603,0.17786927890042203
