fonte (v),Corrente (microA),Tensão (v),Menor dígito,
0.2,0.1,0.215,0.1,
0.4,21.3,0.419,0.1,
0.6,183.7,0.579,0.1,
0.8,425,0718,1,
1,728,0.909,1,
1.2,992,1.042,1,
1.4,1356,1.164,1,
1.6,1907,1.265,1,
1.8,2567,1.346,1,
2,2975,1.387,1,
2.2,3751,1.456,1,
2.4,4351,1.505,1,
2.6,4922,1.548,1,
2.8,5637,1.601,1,
3,10730,1.650,10,(troca de escala)
3.2,11740,0.743,10,
3.4,12370,0.749,10,
3.6,13420,0.759,10,
3.8,14230,0.766,10,
4,14820,0.771,10,
4.2,16020,0.782,10,
4.4,16780,0.786,10,
4.6,17610,0.795,10,
4.8,18690,0.804,10,
5,19450,0.811,10,
5.2,20080,0.815,10,
5.4,21220,0.823,10,
5.6,22180,0.831,10,
5.8,22950,0.836,10,
6,23900,0.844,10,
6.2,24480,0.846,10,
6.4,25140,0.853,10,
6.6,26230,0.861,10,
6.8,27140,0.868,10,
7,28200,0.875,10,
7.2,28990,0.881,10,
7.4,29790,0.886,10,
7.6,30830,0.894,10,
7.8,31400,0.898,10,
8,32270,0.904,10,
8.2,32980,0.909,10,
8.4,34060,0.917,10,
8.6,35090,0.924,10,
8.8,36000,0.930,10,
9,36880,0.936,10,
9.2,37990,0.944,10,
9.4,38590,0.948,10,
9.6,39490,0.953,10,
9.8,40530,0.961,10,
10,41500,0.967,10,
0.2,0,-0.218,0.1,
0.4,0,-0.485,0.1,
0.6,0,-0.687,0.1,
0.8,0,-0.836,0.1,
1,0,-1.040,0.1,
1.2,0,-1.287,0.1,
1.4,0,-1.501,0.1,
1.6,0,-1.672,0.1,
1.8,0,-1.866,0.1,
2,0,-2.064,0.1,
2.2,0,-2.286,0.1,
2.4,0,-2.500,0.1,
2.6,0,-2.705,0.1,
2.8,0,-2.826,0.1,
3,0,-3.020,0.1,
3.2,0,-3.273,0.1,
3.4,0,-3.407,0.1,
3.6,0,-3.689,0.1,
3.8,0,-3.832,0.1,
4,0,-4.076,0.1,
4.2,0,-4.247,0.1,
4.4,0,-4.489,0.1,
4.6,0,-4.672,0.1,
4.8,0,-4.863,0.1,
5,0,-5.042,0.1,
5.5,0,-5.499,0.1,
6,0,-6.07,0.1,
6.5,0,-6.51,0.1,
7,0,-6.99,0.1,
7.5,0,-7.56,0.1,
8,0,-7.93,0.1,
8.5,0,-8.47,0.1,
9,0,-8.96,0.1,
9.5,0,-9.45,0.1,
10,0,-9.89,0.1,
