,distância (m),intensidade do campo magnético inferior na ida (μT),uy_lin,uB_lin,B_lin
2,0.145,4.93,0.006896551724137932,0.004056795131845842,0.69284691927723
5,0.155,5.079999999999998,0.0064516129032258064,0.00393700787401575,0.7058637122839191
1,0.165,4.780000000000001,0.006060606060606061,0.004184100418410041,0.679427896612119
3,0.175,4.550000000000001,0.005714285714285715,0.004395604395604395,0.6580113966571125
7,0.185,4.25,0.005405405405405406,0.004705882352941177,0.6283889300503115
8,0.195,4.399999999999999,0.005128205128205128,0.004545454545454547,0.6434526764861873
4,0.205,4.100000000000001,0.004878048780487805,0.004878048780487803,0.6127838567197357
9,0.215,3.7300000000000004,0.004651162790697674,0.0053619302949061655,0.5717088318086876
0,0.225,4.399999999999999,0.0044444444444444444,0.004545454545454547,0.6434526764861873
10,0.235,4.399999999999999,0.00425531914893617,0.004545454545454547,0.6434526764861873
6,0.245,4.399999999999999,0.004081632653061225,0.004545454545454547,0.6434526764861873
