,distância (m),intensidade do campo magnético superior na ida (μT),uy_lin,uB_lin,B_lin
8,0.065,0.9499999999999993,0.015384615384615384,0.021052631578947385,-0.02227639471115256
6,0.07,1.620000000000001,0.014285714285714285,0.012345679012345671,0.20951501454263122
11,0.075,2.6799999999999997,0.013333333333333334,0.00746268656716418,0.42813479402878873
2,0.08,2.1499999999999986,0.0125,0.009302325581395356,0.33243845991560506
12,0.085,2.6799999999999997,0.011764705882352941,0.00746268656716418,0.42813479402878873
5,0.09,3.3500000000000014,0.011111111111111112,0.005970149253731341,0.5250448070368454
4,0.095,3.129999999999999,0.010526315789473684,0.006389776357827478,0.49554433754644833
1,0.1,3.5,0.01,0.005714285714285714,0.5440680443502757
10,0.105,3.8000000000000007,0.009523809523809525,0.005263157894736841,0.5797835966168102
0,0.11,4.25,0.00909090909090909,0.004705882352941177,0.6283889300503115
9,0.115,3.8000000000000007,0.008695652173913044,0.005263157894736841,0.5797835966168102
