"Time (s)","Sound pressure level (dB)"
0.000000000E0,5.151928537E1
2.125420840E-1,5.697409941E1
4.348805730E-1,7.261308953E1
6.047402080E-1,6.029216309E1
8.136643230E-1,6.090771963E1
1.021231875E0,6.568473345E1
1.214234114E0,6.451309192E1
1.413960364E0,6.233886613E1
1.612413906E0,6.307518110E1
1.816098125E0,6.141322653E1
2.003516198E0,6.002213766E1
2.213246354E0,5.887050113E1
2.412654531E0,5.998589012E1
2.605756041E0,6.633444087E1
2.816531197E0,7.108197366E1
3.012986718E0,7.104216536E1
3.211871978E0,6.653816916E1
3.402656822E0,6.296506396E1
3.611982395E0,6.349928870E1
3.802809895E0,6.044249659E1
4.031757030E0,5.940787526E1
4.203369999E0,5.949690455E1
4.411748749E0,5.801445096E1
4.614018697E0,5.877991385E1
4.820609738E0,5.932699314E1
5.004348905E0,5.741700385E1
5.217419217E0,5.724274723E1
5.404245050E0,5.536502342E1
5.602820884E0,5.598030640E1
5.802177863E0,5.574448057E1
6.013062498E0,5.758798362E1
6.214445675E0,5.612737756E1
6.417111717E0,5.542982053E1
6.602799269E0,5.504234817E1
6.804387081E0,5.879092196E1
7.003128487E0,5.670026295E1
7.216126925E0,5.657474931E1
7.412351664E0,5.398613499E1
7.613254633E0,6.786601520E1
7.814304477E0,7.004301278E1
8.009714320E0,6.706576107E1
8.212515518E0,6.290525518E1
8.416468643E0,6.097999900E1
8.612460570E0,6.048849088E1
8.816206507E0,5.984108003E1
9.015811872E0,6.217929643E1
9.219045309E0,6.138009744E1
9.414319632E0,6.058600493E1
9.622499684E0,5.883577081E1
9.812757445E0,5.943692861E1
1.001237286E1,5.856978524E1
1.020384817E1,5.735629066E1
1.041098770E1,5.742965575E1
1.061257088E1,5.701885669E1
1.081183843E1,6.280165350E1
1.100373401E1,7.003541240E1
1.120334406E1,6.079723554E1
1.140469468E1,5.813855684E1
1.161284713E1,6.103853588E1
1.180224859E1,6.466163806E1
1.200471125E1,5.871079032E1
1.221215317E1,6.236109010E1
1.240178895E1,5.959433103E1
1.261347885E1,6.282312380E1
1.281282729E1,6.889095222E1
1.299924979E1,6.006083177E1
1.321284953E1,5.706667521E1
1.341225984E1,5.996672774E1
1.361351369E1,5.914254166E1
1.380249838E1,5.479525516E1
1.401265343E1,5.620412061E1
1.421477791E1,5.719814903E1
1.443506187E1,5.435595406E1
1.461329880E1,5.886612727E1
1.482119770E1,5.946121789E1
1.501685999E1,5.704372832E1
1.520206291E1,5.752476394E1
1.541260468E1,5.595406749E1
1.561574802E1,5.453623520E1
1.581285994E1,5.375576370E1
1.600150749E1,5.509131280E1
1.621659650E1,5.626513880E1
1.641411968E1,9.869191280E1
1.661296833E1,1.022409680E2
1.681215619E1,1.015316329E2
1.701189437E1,1.007474532E2
1.721334510E1,9.899205507E1
1.740149682E1,1.003067909E2
1.761205598E1,1.000279767E2
1.781150270E1,9.875404666E1
1.801712119E1,9.746728603E1
1.820341119E1,9.709992811E1
1.840495385E1,9.681444248E1
1.861218619E1,9.643023926E1
1.882694775E1,9.587845625E1
1.900313286E1,9.544537761E1
1.920272635E1,9.548638997E1
1.941222963E1,9.561320274E1
1.961279833E1,9.493234204E1
1.981241749E1,9.379512988E1
2.001186489E1,9.330619412E1
2.019985900E1,9.207185084E1
2.041681859E1,9.224713058E1
2.061333619E1,9.163092373E1
2.082661322E1,9.182502108E1
2.101433531E1,9.132694246E1
2.121920791E1,9.216346058E1
2.141237791E1,9.187239624E1
2.161215562E1,9.187064526E1
2.181253989E1,9.038906896E1
2.202220046E1,8.977177554E1
2.220305275E1,8.937947583E1
2.241263739E1,8.873565192E1
2.261913228E1,8.817948937E1
2.280280530E1,8.892379401E1
2.301230442E1,8.756979725E1
2.321032666E1,8.762446669E1
2.340342348E1,8.714070752E1
2.362451036E1,8.470014734E1
2.381239484E1,8.551402777E1
2.400759734E1,8.629569120E1
2.420574890E1,8.558154107E1
2.441715541E1,8.281609807E1
2.460004181E1,8.389367432E1
2.481998515E1,8.366616558E1
2.500369301E1,8.388656466E1
2.520300843E1,8.296348259E1
2.541375202E1,8.292569543E1
2.561326124E1,8.323272179E1
2.581255108E1,8.084748412E1
2.600261390E1,7.864021069E1
2.621187556E1,7.972097571E1
2.641272004E1,7.787741901E1
2.661524759E1,7.521644849E1
2.680289957E1,7.595525958E1
2.701262009E1,7.498353327E1
2.721398426E1,7.214464742E1
2.740229525E1,7.126019363E1
2.761255817E1,7.213181412E1
2.780426728E1,6.849209894E1
2.800191952E1,6.825455342E1
2.821264692E1,6.869671257E1
2.841200723E1,6.799979729E1
2.862126838E1,6.536707159E1
2.880313926E1,6.263080021E1
2.901246030E1,6.052648850E1
2.921552447E1,5.921430609E1
2.940466561E1,5.869546338E1
2.961761145E1,6.050804704E1
2.981983254E1,5.875647117E1
3.001866160E1,6.452368694E1
3.023970983E1,6.179124030E1
3.040281728E1,5.977380237E1
3.060302817E1,5.692421676E1
3.081659619E1,5.834661579E1
3.101194395E1,6.357386855E1
3.120393540E1,5.726157179E1
3.140413145E1,5.894789441E1
3.160319384E1,5.723418302E1
3.180235358E1,5.637605723E1
3.201146145E1,6.032098490E1
3.221373650E1,5.952429854E1
3.242677009E1,5.716052502E1
3.261096066E1,5.893871855E1
3.281323566E1,5.926033931E1
3.301392301E1,6.062547708E1
3.320288551E1,6.067173612E1
3.340291192E1,5.822120083E1
3.361306473E1,5.797080368E1
3.381178280E1,5.646434517E1
3.402608066E1,5.698174878E1
3.421700118E1,5.657894436E1
3.441274478E1,5.983870213E1
3.461359801E1,6.187046073E1
3.482870816E1,5.814036868E1
3.500213869E1,5.866634874E1
3.520340358E1,5.574187332E1
3.541190014E1,5.744238530E1
3.561734790E1,5.720041193E1
3.580331660E1,6.028557341E1
3.601353212E1,5.818991366E1
3.620042118E1,5.559877580E1
3.640103712E1,5.914088281E1
3.659584145E1,5.828691705E1
3.682603957E1,5.686479433E1
3.700855895E1,5.717877228E1
3.721207150E1,5.589943052E1
3.740431530E1,5.678230803E1
3.760259098E1,5.780641819E1
3.782931191E1,5.773283025E1
3.800479337E1,5.487798143E1
3.821183014E1,5.690350580E1
3.841172827E1,5.627407185E1
3.860218446E1,5.558457932E1
3.880367592E1,5.813784789E1
3.883614353E1,5.813784789E1
