"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Mi MIX 2"
"deviceBrand","Xiaomi"
"deviceBoard","msm8998"
"deviceManufacturer","Xiaomi"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","9"
"accelerometer Name","ICM20690 Accelerometer"
"accelerometer Vendor","InvenSense"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.325"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023956299"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","2.824997"
"linear_acceleration Version","2"
"gyroscope Name","ICM20690 Gyroscope"
"gyroscope Vendor","InvenSense"
"gyroscope Range","34.906586"
"gyroscope Resolution","0.0010681152"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","2.5"
"gyroscope Version","1"
"magnetic_field Name","AK09918 Magnetometer"
"magnetic_field Vendor","AKM"
"magnetic_field Range","4911.9995"
"magnetic_field Resolution","0.14953613"
"magnetic_field MinDelay","20000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.1"
"magnetic_field Version","1"
"pressure Name","BMP285 Pressure"
"pressure Vendor","BOSCH"
"pressure Range","1100.0"
"pressure Resolution","0.0018005371"
"pressure MinDelay","38461"
"pressure MaxDelay","65535000"
"pressure Power","0.025"
"pressure Version","1040700"
"light Name","BH1745 BH1745 ALS DEVICE"
"light Vendor","ROHM"
"light Range","32768.0"
"light Resolution","0.1000061"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.13"
"light Version","1"
"proximity Name","Elliptic Proximity"
"proximity Vendor","Elliptic Labs"
"proximity Range","5.0"
"proximity Resolution","1.0E-4"
"proximity MinDelay","0"
"proximity MaxDelay","10000000"
"proximity Power","0.5"
"proximity Version","4"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","3.5999908"
"attitude Version","2"
