,f (Hz),V1 (V),V2 (V),V2/V1,ɸ (s)
0,20,4.88 ± 0.043,0.136 ± 0.002,0.028 ± 0.008,0.136 ± 0.002
1,50,5.04 ± 0.044,0.344 ± 0.003,0.068 ± 0.012,0.344 ± 0.003
2,100,5.08 ± 0.045,0.68 ± 0.006,0.134 ± 0.016,0.68 ± 0.006
3,200,5.08 ± 0.045,1.36 ± 0.013,0.268 ± 0.025,1.36 ± 0.013
4,500,4.92 ± 0.043,2.76 ± 0.025,0.561 ± 0.04,2.76 ± 0.025
5,1000,4.8 ± 0.042,3.8 ± 0.034,0.792 ± 0.051,3.8 ± 0.034
6,2000,4.76 ± 0.042,4.4 ± 0.039,0.924 ± 0.057,4.4 ± 0.039
7,5000,4.72 ± 0.042,4.68 ± 0.041,0.992 ± 0.061,4.68 ± 0.041
8,10000,4.72 ± 0.042,4.72 ± 0.042,1.0 ± 0.061,4.72 ± 0.042
9,20000,4.68 ± 0.041,4.68 ± 0.041,1.0 ± 0.061,4.68 ± 0.041
10,50000,4.68 ± 0.041,4.68 ± 0.041,1.0 ± 0.061,4.68 ± 0.041
11,100000,4.68 ± 0.041,4.68 ± 0.041,1.0 ± 0.061,4.68 ± 0.041
